timestamp,company_name,ticker,strategy_type,title,link,doc_verdict,doc_reasoning,positive_catalysts_found,web_reasoning
2026-09-17T08:20:03.519111+00:00,SEAT,SEAT,CORE,10-Q Report SEAT_2026_Q1.txt,,REJECT,"Vivid Seats Inc. reports negative shareholders' equity of approximately -$95.4 million, which triggers the mandatory going concern risk safety gate. Additionally, the company experienced a significant 23.3% year-over-year revenue decline, indicating a shrinking core business without turnaround indicators.","CTO turns 44,491 stock units into Class A shares; Fair value boost as analysts weigh growth and risks; Management to discuss Q2 results","While there are some positive indicators like analyst fair value boosts and insider conversion of stock units, the stock price decline and CFO change amidst slumping shares present immediate concerns. The upcoming Q2 results discussion will be critical for assessing potential turnaround."
2026-09-17T08:21:10.564000+00:00,ATOM,ATOM,CORE,10-Q Report ATOM_2026_Q1.txt,,HOLD,"Atomera passes all financial safety gates with ~$41.1M in cash/short-term investments, minimal liabilities, and management-confirmed 24+ month runway, but it is essentially a pre-commercialization R&D company with negligible revenue ($11K in Q1 2026), deeply negative operating cash flow (~$4.6M/quarter burn), and no turnaround indicators or growth profile characteristics (no margins, no recurring revenue). The strong net cash position alone is insufficient to qualify as a Value play without positive operating cash flow or operational improvement signals.",Expanded Synopsys GaN modeling collaboration; Among 3 Promising Penny Stocks; Top-Rated Chip Stocks to Buy Now,"While there are positive headlines regarding collaborations and stock ratings, the mention of a 40%+ premarket plunge indicates significant volatility and potential underlying issues not fully explained by the provided snippets, warranting a 'false' for passed_web_check due to the immediate negative price action."
2026-09-17T08:21:57.742842+00:00,CPSS,CPSS,CORE,10-Q Report CPSS_2026_Q1.txt,,HOLD,"CPSS is a viable subprime auto lender with positive operating cash flow and no financial safety red flags, but it fails the Rule of 40 (12.2%) for Profile A and lacks the strong net cash position or turnaround indicators required for Profile B, resulting in a HOLD.",Massive new contract/deal; Return to profitability,"Recent headlines indicate strong operational performance with significant growth in auto originations and portfolio size, coupled with increased revenue and net income, suggesting a positive turnaround."
2026-09-17T08:22:51.473841+00:00,CTSO,CTSO,CORE,10-Q Report CTSO_2026_Q1.txt,,REJECT,"Despite a strong gross margin of ~69% and modest revenue growth (+1.6% YoY), CytoSorbents fails the financial safety gate: dilution risk is elevated due to ongoing reliance on warrant exercises, rights offerings, and convertible debt securities (share count surged ~14% in Q1 2025 alone), and cash burn is unsustainable as negative operating cash flow ($-1.2M/quarter) combined with $6.6M in current debt maturities exceeds the $4.8M cash balance. The company cannot meet near-term obligations without dilutive refinancing.","Insider buying (CEO, Director, COO); Analyst price target affirmation; Significant stock price increase (19% up)","Multiple insider purchases by CEO, Director, and COO, coupled with a significant stock price increase and analyst price target affirmation, suggest potential positive sentiment and a possible turnaround catalyst for CTSO."
2026-09-17T08:54:43.023582+00:00,MRKR,MRKR,CORE,Report MRKR_2026_Q1.txt,,HOLD,"Marker Therapeutics is a clinical-stage immuno-oncology company with a strong net cash position (~$15.6M cash, zero debt, ~11 quarters runway) and improving cost structure (operating expenses down ~18% YoY, net loss narrowed from $4.4M to $3.2M). However, the company has zero commercial revenue, negative operating cash flow (-$1.4M/quarter), and revenue_shrinking = TRUE, which under strict value/turnaround rules disqualifies a STRONG BUY verdict. The company remains a viable speculative play on clinical milestones (MT-601/APOLLO study) but does not meet criteria for either a growth compounder or a deep-value turnaround BUY.",Positive Phase 1/2 Clinical Study Results,"The company shows significant stock price appreciation and positive clinical trial results, indicating potential for growth and a positive turnaround catalyst. No immediate red flags were identified in the provided snippets."
2026-09-17T08:56:15.997531+00:00,BYFC,BYFC,CORE,Report BYFC_2026_Q1.txt,,HOLD,"Broadway Financial Corporation is a small community bank operating normally with positive operating cash flow and no financial safety red flags (no going concern risk, no toxic dilution, no cash burn, no business model pivots). However, as a traditional depository institution, it does not meet Profile A (high-margin growth) criteria — banks do not have >40% gross margins or SaaS-type recurring revenue. Profile B (deep value/turnaround) criteria are also incompletely met: while operations generate cash and revenue is not visibly shrinking, there are no clear turnaround indicators or strong net cash position evidence to warrant a STRONG BUY. The company is a viable but unremarkable small-cap bank lacking catalysts for either growth or deep-value re-rating.",profitable corporate acquisition / sale of loss-making unit,"The company reported positive Q2 net income and announced regulatory approvals for a merger with CFBanc Corporation, indicating a potential positive corporate acquisition catalyst."
2026-09-17T08:58:41.620990+00:00,EAGLE.HE,EAGLE.HE,CORE,Report EAGLE.HE_2025_FY.pdf,,HOLD,"Nightingale Health maintains a strong net cash position (32.7M EUR, ~2.75 years runway at current burn) and grew revenue 17% YoY organically through new contracts and international expansion, but it fails both investment profiles: deeply negative EBITDA margins (-216%) and Rule of 40 (-325%) disqualify it as a high-margin growth compounder, while negative operating cash flow and absence of meaningful turnaround indicators disqualify it as a deep value play. The company remains a pre-scale development-stage healthtech firm investing heavily for future growth.",oversubscribed share issue; order book multiplied; returned to profitability; new CFO,"Eagle Filters has successfully completed an oversubscribed share issue, significantly increased its order book, and returned to profitability, indicating a strong turnaround. The appointment of a new CFO further supports operational improvements."
2026-09-17T08:59:53.861724+00:00,VINCIT.HE,VINCIT.HE,CORE,Report VINCIT.HE_2023_FY.pdf,,HOLD,"Vincit Oyj passes all financial safety gates with a net cash position (net debt ratio -33.4%), positive operating cash flow (5.3M EUR), and credible turnaround indicators (3.4M EUR cost savings from restructuring, 47 fewer employees, improving profitability in H2 2023). However, the company fails Profile A entirely (EBITDA margin only 2.0%, Rule of 40 far below threshold, no recurring revenue model, growth driven by Bilot acquisition rather than organic traction). While full-year 2023 revenue grew 15.7% YoY, the trajectory is deteriorating: Vincit USA revenue declined 17%, H2 saw demand contraction, and management guides 2024 revenue below 2023 levels. The combination of razor-thin margins, negative revenue outlook, and acquisition-dependent growth prevents a STRONG BUY despite the balance sheet strength.",New management (johtoryhmään kolme uutta jäsentä),"Vincit has issued a negative profit warning and completed a directed share issue (dilution), indicating financial distress. However, the appointment of three new members to the management team could be a positive step towards a turnaround."
2026-09-17T09:11:43.750729+00:00,EXEL.HE,EXEL.HE,CORE,Report EXEL.HE_2025_FY.pdf,,REJECT,"The company exhibits unsustainable cash burn with negative operating cash flow and a cash runway of less than 4 quarters based on current burn rate. While there are positive turnaround indicators and strong order intake, the immediate financial safety concerns are paramount.",Potential benefit from data center boom; Potential opportunity in defense industry,"EXEL.HE is planning a reverse stock split, which is a red flag, but also shows potential positive catalysts from the data center boom and defense industry, alongside recent positive stock movement on an earnings day."
2026-09-21T05:16:26.338957+00:00,Lassila & Tikanoja Oyj,LASTIK.HE,SATELLITE,Lassila & Tikanoja Oyj:n taloustiedottaminen ja yhtiökokous vuonna 2027,https://www.globenewswire.com/news-release/2026/09/18/3364741/0/fi/lassila-tikanoja-oyj-n-taloustiedottaminen-ja-yhti%C3%B6kokous-vuonna-2027.html,HOLD (Unmatched Buy Profile),"Tämä yhtiö hylättiin / jätettiin neutraaliksi koska (a) tiedote koskee ainoastaan tulevien taloudellisten katsausten ja yhtiökokouksen aikataulua vuodelle 2027. (b) Se ei sisällä mitään tietoa johdon osakeostoista, yhtiön omien osakkeiden hankinnasta, kassatilanteesta tai ohjeistuksen muutoksista. (c) Tällaiset tiedotteet ovat rutiininomaisia eivätkä sisällä signaaleja, jotka viittaisivat merkittävään positiiviseen tai negatiiviseen muutokseen yhtiön tilanteessa.",Corporate spin-off / demerger,"The headlines indicate a corporate spin-off/demerger for Lassila & Tikanoja, creating a new listed company, which can be a positive catalyst for unlocking shareholder value. No fatal red flags or warning signals were detected."
